name,value
동대문구,192
강남구,1025
은평구,84
중랑구,77
성동구,178
성북구,220
종로구,782
영등포구,253
강동구,115
마포구,1118
광진구,314
양천구,92
구로구,101
중구,1046
용산구,510
관악구,322
노원구,164
서대문구,445
서초구,505
동작구,215
송파구,334
강서구,120
도봉구,47
강북구,86
금천구,58
