carrier,share,death,injury
강남구,5286,17,5269
송파구,3659,24,3635
서초구,3459,13,3446
영등포,3154,26,3128
마포구,2653,20,2633
강서구,2646,32,2614
동대문구,2434,27,2407
관악구,2339,22,2317
성북구,2244,17,2227
구로구,2224,19,2205
기타,30293,300,39234
