date,events
12-Oct-15,1
13-Oct-15,1
14-Oct-15,2
15-Oct-15,8
16-Oct-15,6
17-Oct-15,14
18-Oct-15,3
19-Oct-15,8
20-Oct-15,6
21-Oct-15,1
22-Oct-15,2
23-Oct-15,5
24-Oct-15,7
25-Oct-15,4
26-Oct-15,7
27-Oct-15,3
28-Oct-15,4
