country,value
Australia,19
Austria,28.4
Belgium,30.7
Canada,17
Czech Republic,20.6
Denmark,30.1
Estonia,16.3
Finland,31
France,31.9
Germany,25.8
Greece,24
Hungary,22.1
Iceland,16.5
Ireland,21
Italy,28.6
Korea,10.4
Luxembourg,23.5
Netherlands,24.7
Norway,22
Poland,20.6
Portugal,25.2
Slovak Republic,18.4
Slovenia,23.7
Spain,26.8
Sweden,28.1
Switzerland,19.4
United Kingdom,21.7
United States,19.2
