name,value
종로구,239
중구,233
용산구,208
성동구,204
광진구,244
동대문구,221
중랑구,193
성북구,175
강북구,189
도봉구,197
노원구,252
은평구,198
서대문구,212
마포구,250
양천구,209
강서구,306
구로구,180
금천구,126
영등포구,239
동작구,178
관악구,262
서초구,331
강남구,427
송파구,302
강동구,240
