carrier,share
seoul,7.8
busan,4.4
daegu,3.4
incheon,3.9
gwangju,2.3
daejeon,2
ulsan,1.9
gyeongi,18.2
gangwon,4.9
chungbuk,4.8
chungnam,9.1
junbuk,7.6
junnam,7.8
gyeongbuk,11.3
gyeongnam,8.8
jeju,1.8
