carrier,share
seoul,8.6
busan,4.3
daegu,3.7
incheon,3.2
gwangju,2
daejeon,2.3
ulsan,2
gyeongi,18.5
gangwon,4.8
chungbuk,4.7
chungnam,8.6
junbuk,6.9
junnam,8.3
gyeongbuk,11.8
gyeongnam,9.2
jeju,1.1
