carrier,share
seoul,8.4
busan,3.5
daegu,3.9
incheon,3.1
gwangju,2.1
daejeon,2.1
ulsan,2.3
gyeongi,19.1
gangwon,4.7
chungbuk,5.8
chungnam,8.5
junbuk,7
junnam,8.8
gyeongbuk,10.1
gyeongnam,8.7
jeju,1.9
