carrier,share
seoul,8.2
busan,3.8
daegu,3.8
incheon,3
gwangju,2.4
daejeon,1.9
ulsan,1.8
gyeongi,18.9
gangwon,5.1
chungbuk,5.3
chungnam,9
junbuk,6.6
junnam,8.2
gyeongbuk,11
gyeongnam,9.4
jeju,1.6
