carrier,share
seoul,8.3
busan,4.3
daegu,3.1
incheon,3.1
gwangju,2.2
daejeon,2.2
ulsan,2
gyeongi,18.9
gangwon,5.1
chungbuk,5.1
chungnam,8.5
junbuk,6.7
junnam,7.9
gyeongbuk,11.4
gyeongnam,9.2
jeju,2
