carrier,share
seoul,7.4
busan,4.2
daegu,3.2
incheon,3.1
gwangju,2.2
daejeon,1.8
ulsan,2.5
gyeongi,18.6
gangwon,4.7
chungbuk,6.1
chungnam,8.2
junbuk,7.1
junnam,9
gyeongbuk,10.5
gyeongnam,9.3
jeju,2.1
