carrier,share
seoul,9
busan,4.2
daegu,3.9
incheon,3.7
gwangju,2.1
daejeon,2.3
ulsan,2.1
gyeongi,19.3
gangwon,5.2
chungbuk,4.3
chungnam,7.8
junbuk,6.5
junnam,8.5
gyeongbuk,10.6
gyeongnam,8.8
jeju,1.7
