carrier,share
seoul,7.3
busan,4.3
daegu,3.4
incheon,2.8
gwangju,2.5
daejeon,2.3
ulsan,1.8
gyeongi,19.8
gangwon,5.5
chungbuk,4.5
chungnam,8.8
junbuk,6.3
junnam,8.7
gyeongbuk,12
gyeongnam,8.4
jeju,1.6
