name,value
강남구,83400
강동구,46301
강북구,31867
강서구,36533
관악구,35181
광진구,54750
구로구,33124
금천구,33123
노원구,27511
도봉구,25574
동대문구,38806
동작구,48456
마포구,51007
서대문구,37406
서초구,84057
성동구,54119
성북구,40637
송파구,67603
양천구,43203
영등포구,43341
용산구,83713
은평구,34935
종로구,54078
중구,64096
중랑구,30936
