name,value
종로구,15.88
중구,16.20
용산구,15.62
성동구,15.50
광진구,13.92
동대문구,16.14
중랑구,15.94
성북구,15.40
강북구,15.55
도봉구,14.10
노원구,13.78
은평구,15.58
서대문구,14.81
마포구,14.80
양천구,12.67
강서구,14.45
구로구,14.00
금천구,14.96
영등포구,13.88
동작구,13.73
관악구,14.09
서초구,12.24
강남구,12.82
송파구,12.82
강동구,14.47
