region,occurrence,deaths,injuries
Jong-ro,89,1,176
Joong,84,1,159
Yong-san,99,1,202
Seong-dong,100,1,179
Gwang-jin,167,3,305
Dong-dae-mun,143,2,265
Joong-lang,114,1,223
Seong-buk,101,1,160
Gang-buk,100,0,170
Do-bong,78,2,141
No-won,125,0,240
Eun-pyeong,109,2,182
Seo-dae-mun,94,1,163
Ma-po,167,3,328
Yang-cheon,118,1,234
Gang-seo,161,1,283
Gu-ro,209,5,385
Geum-cheon,124,2,229
Young-deung-po,215,0,403
Dong-jak,124,0,212
Gwan-ak,134,1,218
Seo-cho,253,3,515
Gang-nam,522,4,970
Song-pa,284,2,504
Gang-dong,105,3,187
