region,occurrence,deaths,injuries
Jong-ro,74,0,138
Joong,64,2,98
Yong-san,108,1,199
Seong-dong,121,1,245
Gwang-jin,150,1,291
Dong-dae-mun,122,3,210
Joong-lang,106,1,186
Seong-buk,103,2,174
Gang-buk,94,1,161
Do-bong,56,2,90
No-won,103,3,161
Eun-pyeong,79,1,142
Seo-dae-mun,84,0,120
Ma-po,187,0,364
Yang-cheon,128,0,247
Gang-seo,150,1,279
Gu-ro,157,1,266
Geum-cheon,97,2,187
Young-deung-po,193,0,338
Dong-jak,72,0,118
Gwan-ak,124,2,213
Seo-cho,212,0,398
Gang-nam,426,0,766
Song-pa,241,4,436
Gang-dong,110,2,212
