region,occurrence,deaths,injuries
Jong-ro,86,2,136
Joong,68,0,122
Yong-san,131,4,227
Seong-dong,94,0,160
Gwang-jin,138,2,255
Dong-dae-mun,119,1,195
Joong-lang,114,1,195
Seong-buk,118,1,188
Gang-buk,79,0,156
Do-bong,75,1,116
No-won,114,4,209
Eun-pyeong,86,0,132
Seo-dae-mun,67,0,149
Ma-po,214,1,428
Yang-cheon,119,2,242
Gang-seo,158,1,284
Gu-ro,175,0,322
Geum-cheon,104,2,203
Young-deung-po,174,1,337
Dong-jak,111,1,187
Gwan-ak,149,1,262
Seo-cho,229,2,470
Gang-nam,468,5,910
Song-pa,249,2,452
Gang-dong,111,5,198
