region,occurrence,deaths,injuries
Jong-ro,93,2,176
Joong,76,0,140
Yong-san,104,4,187
Seong-dong,85,3,146
Gwang-jin,161,4,274
Dong-dae-mun,135,2,226
Joong-lang,163,3,281
Seong-buk,132,0,229
Gang-buk,123,0,225
Do-bong,85,2,168
No-won,189,4,334
Eun-pyeong,119,0,228
Seo-dae-mun,92,5,167
Ma-po,217,4,408
Yang-cheon,129,0,240
Gang-seo,158,1,263
Gu-ro,171,4,295
Geum-cheon,121,4,222
Young-deung-po,217,1,411
Dong-jak,95,2,160
Gwan-ak,178,0,339
Seo-cho,215,6,421
Gang-nam,463,9,881
Song-pa,267,1,511
Gang-dong,122,1,227
