region,occurrence,deaths,injuries
Jong-ro,101,3,190
Joong,68,0,118
Yong-san,98,1,178
Seong-dong,90,2,171
Gwang-jin,138,2,269
Dong-dae-mun,129,3,212
Joong-lang,142,1,255
Seong-buk,146,0,258
Gang-buk,106,2,183
Do-bong,91,4,180
No-won,159,6,288
Eun-pyeong,110,2,190
Seo-dae-mun,85,3,156
Ma-po,166,2,315
Yang-cheon,149,1,261
Gang-seo,157,2,296
Gu-ro,148,1,263
Geum-cheon,97,0,178
Young-deung-po,185,2,333
Dong-jak,95,0,164
Gwan-ak,128,1,217
Seo-cho,185,7,333
Gang-nam,418,2,813
Song-pa,219,1,396
Gang-dong,119,3,216
