region,occurrence,deaths,injuries
Jong-ro,91,2,178
Joong,76,2,130
Yong-san,85,3,150
Seong-dong,64,0,120
Gwang-jin,143,1,253
Dong-dae-mun,133,6,240
Joong-lang,157,2,266
Seong-buk,119,2,187
Gang-buk,116,4,181
Do-bong,72,2,152
No-won,141,5,233
Eun-pyeong,128,0,210
Seo-dae-mun,85,1,140
Ma-po,187,1,330
Yang-cheon,130,4,214
Gang-seo,189,0,328
Gu-ro,149,2,274
Geum-cheon,96,3,168
Young-deung-po,176,3,310
Dong-jak,65,3,108
Gwan-ak,167,3,275
Seo-cho,173,0,330
Gang-nam,375,4,687
Song-pa,220,1,413
Gang-dong,144,5,260
