name,value
문정2동,2510
장지동,3391
잠실본동,2821
잠실4동,2919
잠실6동,2019
잠실7동,1588
잠실2동,2529
잠실3동,4038
위례동,641
강일동,3707
상일동,2566
명일1동,2432
명일2동,1661
고덕1동,1561
고덕2동,1384
암사2동,1661
암사3동,1681
천호1동,3904
천호3동,3535
성내1동,2049
성내2동,3267
성내3동,2677
둔촌1동,1527
둔촌2동,3150
암사1동,4478
천호2동,4739
길동,5590
