region,dead,injured
종로구,2,86
중구,2,98
용산구,1,78
성동구,0,70
광진구,1,84
동대문구,0,100
중랑구,0,116
성북구,0,105
강북구,0,88
도봉구,2,58
노원구,1,85
은평구,2,100
서대문구,2,71
마포구,2,100
양천구,0,94
강서구,2,126
구로구,2,109
금천구,0,83
영등포구,4,153
동작구,0,84
관악구,1,119
서초구,3,151
강남구,0,191
송파구,2,146
강동구,0,104
