region,dead,injured
종로구,2,390
중구,0,324
용산구,1,436
성동구,1,295
광진구,0,418
동대문구,3,422
중랑구,1,344
성북구,3,398
강북구,0,279
도봉구,1,174
노원구,1,302
은평구,0,272
서대문구,1,323
마포구,2,590
양천구,0,303
강서구,7,414
구로구,1,346
금천구,2,232
영등포구,0,563
동작구,1,348
관악구,4,531
서초구,1,688
강남구,1,124
송파구,0,612
강동구,1,306
