region,dead,injured
종로구,0,72
중구,0,69
용산구,0,81
성동구,0,120
광진구,1,183
동대문구,1,180
중랑구,1,236
성북구,1,189
강북구,0,175
도봉구,1,112
노원구,1,223
은평구,2,213
서대문구,1,122
마포구,3,170
양천구,0,190
강서구,3,207
구로구,2,168
금천구,0,126
영등포구,4,177
동작구,1,166
관악구,1,159
서초구,0,147
강남구,0,252
송파구,4,324
강동구,0,169
