region,dead,injured
종로구,2,327
중구,1,326
용산구,4,362
성동구,1,358
광진구,3,356
동대문구,5,509
중랑구,2,458
성북구,3,364
강북구,0,352
도봉구,4,250
노원구,4,340
은평구,4,360
서대문구,1,269
마포구,3,457
양천구,3,364
강서구,5,495
구로구,2,436
금천구,2,296
영등포구,7,559
동작구,4,339
관악구,3,395
서초구,4,611
강남구,3,822
송파구,7,664
강동구,3,428
