region,dead,injured
종로구,0,81
중구,0,106
용산구,0,89
성동구,0,81
광진구,1,92
동대문구,4,142
중랑구,1,103
성북구,1,125
강북구,2,98
도봉구,1,74
노원구,2,84
은평구,0,91
서대문구,0,80
마포구,2,92
양천구,2,84
강서구,4,124
구로구,0,120
금천구,2,80
영등포구,3,136
동작구,0,68
관악구,0,109
서초구,2,131
강남구,1,171
송파구,1,177
강동구,2,111
