region,dead,injured
종로구,0,50
중구,0,35
용산구,0,46
성동구,0,56
광진구,0,119
동대문구,0,89
중랑구,0,103
성북구,0,134
강북구,0,75
도봉구,0,71
노원구,1,119
은평구,0,124
서대문구,1,86
마포구,0,71
양천구,0,132
강서구,0,123
구로구,0,110
금천구,0,75
영등포구,1,118
동작구,1,91
관악구,0,75
서초구,0,114
강남구,0,179
송파구,0,202
강동구,0,118
