region,dead,injured
종로구,1,373
중구,1,343
용산구,0,343
성동구,1,310
광진구,1,343
동대문구,5,423
중랑구,3,375
성북구,3,374
강북구,1,321
도봉구,0,192
노원구,1,395
은평구,0,304
서대문구,4,269
마포구,3,461
양천구,2,402
강서구,3,482
구로구,5,408
금천구,2,308
영등포구,2,637
동작구,1,312
관악구,4,352
서초구,2,701
강남구,4,960
송파구,2,702
강동구,1,379
