region,dead,injured
종로구,1,350
중구,2,424
용산구,1,461
성동구,4,346
광진구,3,406
동대문구,2,403
중랑구,1,333
성북구,3,419
강북구,3,281
도봉구,1,180
노원구,0,363
은평구,1,315
서대문구,1,286
마포구,2,599
양천구,2,344
강서구,1,521
구로구,1,409
금천구,1,265
영등포구,0,653
동작구,1,409
관악구,1,452
서초구,0,821
강남구,3,1337
송파구,2,687
강동구,1,308
