year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,32,2,1,2,9,4,5,1,3,5,0
2006,28,2,1,6,4,1,5,3,3,3,0
2007,35,0,1,6,5,6,5,2,6,3,1
2008,36,0,0,7,1,8,8,3,4,5,0
2009,33,1,1,3,7,8,6,3,2,2,0
2010,30,3,0,5,1,6,5,1,3,6,0
2011,28,0,3,4,2,3,9,3,0,4,0
2012,32,0,1,2,6,4,3,2,2,12,0
2013,29,1,2,1,6,2,4,4,2,7,0
2014,26,1,4,0,0,2,7,4,3,5,0
