year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,27,1,0,3,5,5,3,3,4,3,0
2006,22,1,0,3,4,3,3,2,2,4,0
2007,24,0,4,3,3,7,3,0,1,3,0
2008,12,1,0,1,3,1,0,2,3,1,0
2009,29,1,5,2,2,4,4,2,4,5,0
2010,22,1,1,6,4,2,3,1,1,3,0
2011,23,1,3,4,1,3,3,3,2,3,0
2012,23,0,2,2,4,0,4,1,4,6,0
2013,23,0,1,3,3,3,3,1,2,7,0
2014,20,0,3,2,2,3,3,2,2,3,0
