year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,19,1,1,4,2,1,2,1,2,5,0
2006,24,3,1,2,1,5,4,0,4,4,0
2007,9,1,2,1,0,1,1,1,0,2,0
2008,19,0,0,2,2,3,5,3,0,4,0
2009,15,0,0,2,1,2,2,1,2,5,0
2010,10,0,1,0,0,0,2,0,1,6,0
2011,22,1,3,4,1,1,4,0,3,5,0
2012,11,0,0,0,1,1,3,0,0,6,0
2013,9,1,0,0,1,1,0,0,0,6,0
2014,17,0,1,3,3,3,3,0,1,3,0
