year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,24,0,1,3,5,3,2,3,2,5,0
2006,22,0,3,2,1,5,3,3,0,5,0
2007,13,0,1,0,3,4,1,0,2,2,0
2008,22,1,1,4,3,3,3,0,3,4,0
2009,15,0,2,0,2,2,1,0,4,4,0
2010,14,0,1,4,2,2,1,2,1,1,0
2011,15,0,0,1,3,1,2,2,1,5,0
2012,21,1,1,6,4,1,2,0,4,2,0
2013,19,0,2,1,0,2,4,1,2,7,0
2014,19,0,2,1,1,5,2,2,0,6,0
