area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,28,0,2,8,4,1,3,4,4,2,0
강동구,19,0,0,2,2,2,3,1,2,7,0
강북구,18,2,1,1,2,3,6,0,0,3,0
강서구,19,0,0,4,3,2,2,2,0,6,0
관악구,25,2,2,2,3,5,2,1,4,4,0
광진구,21,0,1,4,4,2,4,1,2,3,0
구로구,24,0,1,3,5,3,2,3,2,5,0
금천구,15,3,1,2,1,3,4,1,0,0,0
노원구,20,0,1,1,2,4,1,1,2,8,0
도봉구,8,0,0,1,1,1,2,2,1,0,0
동대문구,21,3,1,0,2,2,5,4,2,2,0
동작구,12,0,3,1,2,3,0,0,2,1,0
마포구,27,1,0,3,5,5,3,3,4,3,0
서대문구,16,1,2,2,2,1,1,2,2,3,0
서초구,26,3,1,4,3,7,5,2,0,1,0
성동구,13,0,1,3,4,2,2,0,1,0,0
성북구,19,1,1,4,2,1,2,1,2,5,0
송파구,27,2,1,8,4,7,3,0,2,0,0
양천구,16,2,0,7,2,0,1,1,2,1,0
영등포구,32,2,1,2,9,4,5,1,3,5,0
용산구,20,0,3,5,5,3,1,2,1,0,0
은평구,11,0,0,1,1,1,3,2,0,3,0
종로구,24,0,3,4,0,5,4,1,1,6,0
중구,13,0,2,3,0,1,4,0,1,2,0
중랑구,11,1,0,2,1,4,1,1,1,0,0
합계,485,23,28,77,69,72,69,36,41,70,0
