year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,19,0,0,4,3,2,2,2,0,6,0
2006,24,3,2,2,3,5,4,1,1,3,0
2007,19,0,2,1,4,3,2,1,1,5,0
2008,22,2,2,1,3,2,4,1,2,4,1
2009,15,3,2,1,1,0,1,0,2,5,0
2010,21,3,3,1,1,3,4,1,1,4,0
2011,16,0,0,5,2,4,2,0,1,2,0
2012,25,1,4,3,3,2,3,2,4,3,0
2013,26,0,2,2,1,7,7,1,3,3,0
2014,32,0,3,7,1,3,5,2,4,7,0
