year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,16,1,2,2,2,1,1,2,2,3,0
2006,10,0,0,3,1,1,0,0,1,4,0
2007,13,0,0,1,0,1,2,1,4,4,0
2008,14,0,0,2,1,2,0,1,3,5,0
2009,26,0,3,7,1,1,3,0,2,9,0
2010,15,1,0,2,1,3,1,1,3,3,0
2011,14,0,0,1,3,2,3,1,1,3,0
2012,13,0,1,3,2,1,2,2,0,2,0
2013,14,0,0,3,1,3,1,0,1,5,0
2014,16,1,1,1,1,4,1,2,0,5,0
