year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,8,0,0,1,1,1,2,2,1,0,0
2006,9,0,0,1,2,2,0,1,2,1,0
2007,11,0,4,1,0,2,2,0,2,0,0
2008,17,0,0,3,2,1,3,1,2,5,0
2009,17,0,1,2,1,4,4,1,1,3,0
2010,11,0,1,2,0,1,2,0,2,3,0
2011,15,0,2,4,2,0,1,2,1,3,0
2012,16,1,0,1,0,2,6,1,3,2,0
2013,8,0,0,0,0,1,1,0,0,6,0
2014,14,0,1,1,1,0,4,2,1,4,0
