year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,19,0,0,2,2,2,3,1,2,7,0
2006,16,1,2,1,0,6,0,2,1,3,0
2007,19,1,2,3,0,4,2,1,2,4,0
2008,13,1,1,5,1,2,1,0,1,1,0
2009,22,1,0,2,2,5,3,2,5,2,0
2010,14,2,1,1,1,1,6,0,0,2,0
2011,13,0,1,1,2,0,1,1,3,4,0
2012,18,1,3,1,2,3,4,1,0,3,0
2013,12,0,0,3,1,1,3,3,1,0,0
2014,14,0,0,1,1,1,3,0,2,6,0
