year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,20,0,1,1,2,4,1,1,2,8,0
2006,16,0,1,6,1,3,1,1,2,1,0
2007,26,0,2,2,1,4,8,1,2,6,0
2008,22,0,1,5,2,5,4,0,3,2,0
2009,21,0,0,4,2,4,2,1,2,6,0
2010,25,0,3,2,1,3,5,3,2,6,0
2011,14,1,1,1,0,3,4,0,1,3,0
2012,13,1,1,1,0,0,4,2,1,3,0
2013,13,1,1,4,3,0,1,0,2,1,0
2014,17,1,1,1,0,1,4,1,2,6,0
