year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,21,3,1,0,2,2,5,4,2,2,0
2006,25,0,0,3,5,4,4,0,1,8,0
2007,27,0,3,5,1,3,5,4,1,5,0
2008,41,1,3,6,3,8,6,2,3,9,0
2009,27,1,1,3,5,4,6,1,2,4,0
2010,25,0,2,2,1,2,7,0,4,7,0
2011,13,0,0,2,2,1,2,1,2,3,0
2012,20,0,1,1,3,1,7,2,0,5,0
2013,16,0,3,1,1,0,4,0,4,3,0
2014,27,0,1,3,2,5,5,0,4,7,0
