year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,11,1,0,2,1,4,1,1,1,0,0
2006,14,0,2,1,0,2,4,2,2,1,0
2007,20,1,1,2,2,1,1,2,2,8,0
2008,17,0,1,1,4,4,0,1,1,4,1
2009,15,0,3,1,1,0,4,1,2,3,0
2010,17,0,2,1,0,4,5,0,1,4,0
2011,12,0,1,3,0,2,2,1,2,1,0
2012,11,0,0,1,1,1,3,0,3,2,0
2013,9,1,0,2,1,0,3,0,0,2,0
2014,11,0,1,1,1,3,2,0,1,2,0
