year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,13,0,1,3,4,2,2,0,1,0,0
2006,15,0,0,5,1,2,3,1,0,3,0
2007,16,1,0,2,3,1,2,1,1,5,0
2008,17,0,0,5,2,1,2,2,2,3,0
2009,13,1,0,4,3,3,0,0,2,0,0
2010,15,0,0,1,3,4,2,2,1,2,0
2011,21,0,1,4,1,6,4,0,1,4,0
2012,6,0,0,0,2,2,2,0,0,0,0
2013,8,0,1,0,0,0,3,0,1,3,0
2014,11,0,0,1,4,1,1,0,0,4,0
