year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,20,0,3,5,5,3,1,2,1,0,0
2006,14,0,0,3,4,3,1,1,1,1,0
2007,20,1,3,3,2,6,2,1,1,1,0
2008,19,0,0,6,2,5,1,1,3,1,0
2009,20,0,2,5,5,2,2,0,2,2,0
2010,15,0,0,2,3,2,3,2,0,3,0
2011,9,0,1,3,2,1,1,0,0,1,0
2012,11,0,0,2,2,1,4,0,0,2,0
2013,13,0,2,2,2,2,2,0,1,2,0
2014,8,0,0,1,1,0,4,1,0,1,0
