year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,13,0,2,3,0,1,4,0,1,2,0
2006,16,0,0,4,3,4,1,1,1,2,0
2007,12,0,0,2,3,1,0,0,3,3,0
2008,13,0,2,1,2,4,1,0,0,2,1
2009,12,0,0,0,0,3,1,0,3,5,0
2010,7,0,0,2,1,0,1,1,1,1,0
2011,13,0,0,4,0,3,1,3,2,0,0
2012,12,0,0,0,2,1,3,1,3,2,0
2013,10,0,0,2,0,0,4,0,1,3,0
2014,7,0,0,0,2,1,1,2,0,1,0
