year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,11,0,0,1,1,1,3,2,0,3,0
2006,18,0,0,4,2,3,2,1,4,2,0
2007,16,1,1,4,1,2,4,0,0,3,0
2008,16,2,1,2,0,4,2,1,2,2,0
2009,15,0,1,4,0,1,1,0,3,5,0
2010,16,0,0,3,2,2,0,1,3,5,0
2011,20,0,1,1,1,2,1,0,4,10,0
2012,21,0,0,2,1,4,3,1,8,2,0
2013,10,0,2,0,2,0,2,0,2,2,0
2014,11,0,2,0,1,0,4,2,0,2,0
