area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,30,2,1,7,5,9,3,0,1,2,0
강동구,19,1,2,3,0,4,2,1,2,4,0
강북구,11,0,1,2,1,2,2,0,0,3,0
강서구,19,0,2,1,4,3,2,1,1,5,0
관악구,18,1,3,1,2,2,2,1,1,5,0
광진구,17,1,1,2,1,5,2,1,1,3,0
구로구,13,0,1,0,3,4,1,0,2,2,0
금천구,14,1,1,4,3,2,1,1,0,1,0
노원구,26,0,2,2,1,4,8,1,2,6,0
도봉구,11,0,4,1,0,2,2,0,2,0,0
동대문구,27,0,3,5,1,3,5,4,1,5,0
동작구,16,0,2,3,1,4,2,1,0,3,0
마포구,24,0,4,3,3,7,3,0,1,3,0
서대문구,13,0,0,1,0,1,2,1,4,4,0
서초구,21,1,1,6,3,4,0,1,1,4,0
성동구,16,1,0,2,3,1,2,1,1,5,0
성북구,9,1,2,1,0,1,1,1,0,2,0
송파구,17,1,3,4,3,1,0,1,2,2,0
양천구,16,0,0,4,0,6,4,0,1,1,0
영등포구,35,0,1,6,5,6,5,2,6,3,1
용산구,20,1,3,3,2,6,2,1,1,1,0
은평구,16,1,1,4,1,2,4,0,0,3,0
종로구,12,0,1,1,3,3,0,0,1,3,0
중구,12,0,0,2,3,1,0,0,3,3,0
중랑구,20,1,1,2,2,1,1,2,2,8,0
합계,452,13,40,70,50,84,56,21,36,81,1
