area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,25,0,1,3,3,6,5,2,4,1,0
강동구,18,1,3,1,2,3,4,1,0,3,0
강북구,9,0,1,0,0,1,1,0,5,1,0
강서구,25,1,4,3,3,2,3,2,4,3,0
관악구,20,0,2,2,1,1,3,2,3,6,0
광진구,17,0,2,1,0,2,4,1,1,6,0
구로구,21,1,1,6,4,1,2,0,4,2,0
금천구,21,1,0,2,0,4,9,1,2,2,0
노원구,13,1,1,1,0,0,4,2,1,3,0
도봉구,16,1,0,1,0,2,6,1,3,2,0
동대문구,20,0,1,1,3,1,7,2,0,5,0
동작구,14,0,0,3,1,3,3,0,2,2,0
마포구,23,0,2,2,4,0,4,1,4,6,0
서대문구,13,0,1,3,2,1,2,2,0,2,0
서초구,25,0,1,1,3,1,7,3,2,7,0
성동구,6,0,0,0,2,2,2,0,0,0,0
성북구,11,0,0,0,1,1,3,0,0,6,0
송파구,14,0,2,2,2,2,1,1,2,2,0
양천구,14,0,0,2,2,1,1,0,4,4,0
영등포구,32,0,1,2,6,4,3,2,2,12,0
용산구,11,0,0,2,2,1,4,0,0,2,0
은평구,21,0,0,2,1,4,3,1,8,2,0
종로구,12,0,0,2,0,1,3,2,3,1,0
중구,12,0,0,0,2,1,3,1,3,2,0
중랑구,11,0,0,1,1,1,3,0,3,2,0
합계,424,6,23,43,45,46,90,27,60,84,0
