year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,21,0,1,4,4,2,4,1,2,3,0
2006,11,1,2,1,2,2,1,1,0,1,0
2007,17,1,1,2,1,5,2,1,1,3,0
2008,17,1,3,2,1,2,2,0,2,3,1
2009,26,0,0,6,2,2,8,2,3,3,0
2010,17,2,1,3,4,1,2,0,2,2,0
2011,23,1,3,1,3,1,5,2,2,5,0
2012,17,0,2,1,0,2,4,1,1,6,0
2013,10,0,0,1,1,4,1,1,2,0,0
2014,12,0,1,0,3,1,3,1,1,2,0
