year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,18,2,1,1,2,3,6,0,0,3,0
2006,7,0,1,0,1,1,2,1,0,1,0
2007,11,0,1,2,1,2,2,0,0,3,0
2008,12,0,0,3,3,0,3,1,1,1,0
2009,20,1,0,2,4,6,3,0,3,1,0
2010,16,1,2,2,0,2,3,1,4,1,0
2011,7,0,1,1,1,0,2,0,0,2,0
2012,9,0,1,0,0,1,1,0,5,1,0
2013,10,0,0,0,0,1,2,0,1,6,0
2014,12,0,0,0,3,1,0,0,2,6,0
