year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,15,3,1,2,1,3,4,1,0,0,0
2006,10,1,1,0,2,1,2,0,1,2,0
2007,14,1,1,4,3,2,1,1,0,1,0
2008,14,2,1,1,3,2,1,0,1,3,0
2009,21,1,2,1,2,3,4,2,3,3,0
2010,12,0,1,2,3,3,2,0,1,0,0
2011,10,0,1,1,0,3,3,0,2,0,0
2012,21,1,0,2,0,4,9,1,2,2,0
2013,10,0,1,1,2,2,2,0,0,2,0
2014,13,0,0,2,1,2,2,0,2,4,0
