area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,27,1,1,3,3,6,6,4,0,3,0
강동구,22,1,0,2,2,5,3,2,5,2,0
강북구,20,1,0,2,4,6,3,0,3,1,0
강서구,15,3,2,1,1,0,1,0,2,5,0
관악구,14,0,1,2,2,2,0,1,1,5,0
광진구,26,0,0,6,2,2,8,2,3,3,0
구로구,15,0,2,0,2,2,1,0,4,4,0
금천구,21,1,2,1,2,3,4,2,3,3,0
노원구,21,0,0,4,2,4,2,1,2,6,0
도봉구,17,0,1,2,1,4,4,1,1,3,0
동대문구,27,1,1,3,5,4,6,1,2,4,0
동작구,16,0,1,5,2,2,0,1,2,3,0
마포구,29,1,5,2,2,4,4,2,4,5,0
서대문구,26,0,3,7,1,1,3,0,2,9,0
서초구,24,2,0,1,3,7,1,2,3,5,0
성동구,13,1,0,4,3,3,0,0,2,0,0
성북구,15,0,0,2,1,2,2,1,2,5,0
송파구,22,1,1,8,4,2,4,0,0,2,0
양천구,18,0,2,3,1,3,5,0,1,3,0
영등포구,33,1,1,3,7,8,6,3,2,2,0
용산구,20,0,2,5,5,2,2,0,2,2,0
은평구,15,0,1,4,0,1,1,0,3,5,0
종로구,18,0,0,5,0,9,0,1,0,3,0
중구,12,0,0,0,0,3,1,0,3,5,0
중랑구,15,0,3,1,1,0,4,1,2,3,0
합계,501,14,29,76,56,85,71,25,54,91,0
