area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,31,0,1,4,8,6,2,1,5,4,0
강동구,12,0,0,3,1,1,3,3,1,0,0
강북구,10,0,0,0,0,1,2,0,1,6,0
강서구,26,0,2,2,1,7,7,1,3,3,0
관악구,20,0,0,3,3,3,3,0,2,6,0
광진구,10,0,0,1,1,4,1,1,2,0,0
구로구,19,0,2,1,0,2,4,1,2,7,0
금천구,10,0,1,1,2,2,2,0,0,2,0
노원구,13,1,1,4,3,0,1,0,2,1,0
도봉구,8,0,0,0,0,1,1,0,0,6,0
동대문구,16,0,3,1,1,0,4,0,4,3,0
동작구,11,1,0,1,3,2,1,1,1,1,0
마포구,23,0,1,3,3,3,3,1,2,7,0
서대문구,14,0,0,3,1,3,1,0,1,5,0
서초구,19,0,1,5,1,2,3,2,1,4,0
성동구,8,0,1,0,0,0,3,0,1,3,0
성북구,9,1,0,0,1,1,0,0,0,6,0
송파구,21,0,0,4,1,3,7,0,2,4,0
양천구,14,0,1,3,0,2,3,1,1,3,0
영등포구,29,1,2,1,6,2,4,4,2,7,0
용산구,13,0,2,2,2,2,2,0,1,2,0
은평구,10,0,2,0,2,0,2,0,2,2,0
종로구,13,0,0,1,3,1,4,0,1,3,0
중구,10,0,0,2,0,0,4,0,1,3,0
중랑구,9,1,0,2,1,0,3,0,0,2,0
합계,378,5,20,47,44,48,70,16,38,90,0
