area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,37,0,7,4,7,5,5,0,2,7,0
강동구,16,1,2,1,0,6,0,2,1,3,0
강북구,7,0,1,0,1,1,2,1,0,1,0
강서구,24,3,2,2,3,5,4,1,1,3,0
관악구,12,0,1,4,1,1,1,0,3,1,0
광진구,11,1,2,1,2,2,1,1,0,1,0
구로구,22,0,3,2,1,5,3,3,0,5,0
금천구,10,1,1,0,2,1,2,0,1,2,0
노원구,16,0,1,6,1,3,1,1,2,1,0
도봉구,9,0,0,1,2,2,0,1,2,1,0
동대문구,25,0,0,3,5,4,4,0,1,8,0
동작구,23,0,2,1,4,5,3,1,4,2,1
마포구,22,1,0,3,4,3,3,2,2,4,0
서대문구,10,0,0,3,1,1,0,0,1,4,0
서초구,23,1,2,3,3,4,5,1,2,2,0
성동구,15,0,0,5,1,2,3,1,0,3,0
성북구,24,3,1,2,1,5,4,0,4,4,0
송파구,27,2,6,3,1,1,8,4,1,1,0
양천구,14,2,0,2,0,4,2,1,1,2,0
영등포구,28,2,1,6,4,1,5,3,3,3,0
용산구,14,0,0,3,4,3,1,1,1,1,0
은평구,18,0,0,4,2,3,2,1,4,2,0
종로구,15,0,1,3,3,0,2,3,1,2,0
중구,16,0,0,4,3,4,1,1,1,2,0
중랑구,14,0,2,1,0,2,4,2,2,1,0
합계,452,17,35,67,56,73,66,31,40,66,1
