area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,25,0,0,8,5,6,4,1,0,1,0
강동구,13,1,1,5,1,2,1,0,1,1,0
강북구,12,0,0,3,3,0,3,1,1,1,0
강서구,22,2,2,1,3,2,4,1,2,4,1
관악구,13,2,1,5,0,2,1,0,0,2,0
광진구,17,1,3,2,1,2,2,0,2,3,1
구로구,22,1,1,4,3,3,3,0,3,4,0
금천구,14,2,1,1,3,2,1,0,1,3,0
노원구,22,0,1,5,2,5,4,0,3,2,0
도봉구,17,0,0,3,2,1,3,1,2,5,0
동대문구,41,1,3,6,3,8,6,2,3,9,0
동작구,10,1,1,1,1,1,4,0,1,0,0
마포구,12,1,0,1,3,1,0,2,3,1,0
서대문구,14,0,0,2,1,2,0,1,3,5,0
서초구,17,0,1,2,2,3,5,0,1,3,0
성동구,17,0,0,5,2,1,2,2,2,3,0
성북구,19,0,0,2,2,3,5,3,0,4,0
송파구,30,0,2,9,3,4,5,2,2,3,0
양천구,21,2,5,3,0,2,0,2,1,6,0
영등포구,36,0,0,7,1,8,8,3,4,5,0
용산구,19,0,0,6,2,5,1,1,3,1,0
은평구,16,2,1,2,0,4,2,1,2,2,0
종로구,23,1,0,6,2,5,3,0,2,4,0
중구,13,0,2,1,2,4,1,0,0,2,1
중랑구,17,0,1,1,4,4,0,1,1,4,1
합계,482,17,26,91,51,80,68,24,43,78,4
