area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,31,1,1,8,4,5,8,1,3,0,0
강동구,14,2,1,1,1,1,6,0,0,2,0
강북구,16,1,2,2,0,2,3,1,4,1,0
강서구,21,3,3,1,1,3,4,1,1,4,0
관악구,16,1,0,1,3,1,1,2,2,5,0
광진구,17,2,1,3,4,1,2,0,2,2,0
구로구,14,0,1,4,2,2,1,2,1,1,0
금천구,12,0,1,2,3,3,2,0,1,0,0
노원구,25,0,3,2,1,3,5,3,2,6,0
도봉구,11,0,1,2,0,1,2,0,2,3,0
동대문구,25,0,2,2,1,2,7,0,4,7,0
동작구,13,0,1,2,4,1,0,0,1,4,0
마포구,22,1,1,6,4,2,3,1,1,3,0
서대문구,15,1,0,2,1,3,1,1,3,3,0
서초구,20,1,0,3,2,3,5,1,1,4,0
성동구,15,0,0,1,3,4,2,2,1,2,0
성북구,10,0,1,0,0,0,2,0,1,6,0
송파구,16,0,0,2,3,2,2,2,2,3,0
양천구,12,0,1,3,1,2,2,0,1,2,0
영등포구,30,3,0,5,1,6,5,1,3,6,0
용산구,15,0,0,2,3,2,3,2,0,3,0
은평구,16,0,0,3,2,2,0,1,3,5,0
종로구,19,0,0,0,3,4,4,1,2,5,0
중구,7,0,0,2,1,0,1,1,1,1,0
중랑구,17,0,2,1,0,4,5,0,1,4,0
합계,429,16,22,60,48,59,76,23,43,82,0
