year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,27,2,1,8,4,7,3,0,2,0,0
2006,27,2,6,3,1,1,8,4,1,1,0
2007,17,1,3,4,3,1,0,1,2,2,0
2008,30,0,2,9,3,4,5,2,2,3,0
2009,22,1,1,8,4,2,4,0,0,2,0
2010,16,0,0,2,3,2,2,2,2,3,0
2011,36,0,0,5,3,8,7,1,5,7,0
2012,14,0,2,2,2,2,1,1,2,2,0
2013,21,0,0,4,1,3,7,0,2,4,0
2014,24,0,4,0,2,2,7,2,1,6,0
