year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,28,0,2,8,4,1,3,4,4,2,0
2006,37,0,7,4,7,5,5,0,2,7,0
2007,30,2,1,7,5,9,3,0,1,2,0
2008,25,0,0,8,5,6,4,1,0,1,0
2009,27,1,1,3,3,6,6,4,0,3,0
2010,31,1,1,8,4,5,8,1,3,0,0
2011,36,0,3,8,5,10,6,2,1,1,0
2012,25,0,1,3,3,6,5,2,4,1,0
2013,31,0,1,4,8,6,2,1,5,4,0
2014,17,0,0,1,3,4,3,0,1,5,0
