year,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
2005,24,0,3,4,0,5,4,1,1,6,0
2006,15,0,1,3,3,0,2,3,1,2,0
2007,12,0,1,1,3,3,0,0,1,3,0
2008,23,1,0,6,2,5,3,0,2,4,0
2009,18,0,0,5,0,9,0,1,0,3,0
2010,19,0,0,0,3,4,4,1,2,5,0
2011,14,0,0,1,0,1,5,2,1,4,0
2012,12,0,0,2,0,1,3,2,3,1,0
2013,13,0,0,1,3,1,4,0,1,3,0
2014,11,0,0,2,1,1,2,2,0,3,0
