area,sum,under_14,15~20,21~30,31~40,41~50,51~60,61~64,65~70,upper_71,unknown
강남구,36,0,3,8,5,10,6,2,1,1,0
강동구,13,0,1,1,2,0,1,1,3,4,0
강북구,7,0,1,1,1,0,2,0,0,2,0
강서구,16,0,0,5,2,4,2,0,1,2,0
관악구,17,0,2,4,2,1,0,2,1,5,0
광진구,23,1,3,1,3,1,5,2,2,5,0
구로구,15,0,0,1,3,1,2,2,1,5,0
금천구,10,0,1,1,0,3,3,0,2,0,0
노원구,14,1,1,1,0,3,4,0,1,3,0
도봉구,15,0,2,4,2,0,1,2,1,3,0
동대문구,13,0,0,2,2,1,2,1,2,3,0
동작구,13,0,2,3,0,4,0,0,1,3,0
마포구,23,1,3,4,1,3,3,3,2,3,0
서대문구,14,0,0,1,3,2,3,1,1,3,0
서초구,17,0,1,4,3,5,0,0,0,4,0
성동구,21,0,1,4,1,6,4,0,1,4,0
성북구,22,1,3,4,1,1,4,0,3,5,0
송파구,36,0,0,5,3,8,7,1,5,7,0
양천구,14,0,3,2,1,2,1,1,1,3,0
영등포구,28,0,3,4,2,3,9,3,0,4,0
용산구,9,0,1,3,2,1,1,0,0,1,0
은평구,20,0,1,1,1,2,1,0,4,10,0
종로구,14,0,0,1,0,1,5,2,1,4,0
중구,13,0,0,4,0,3,1,3,2,0,0
중랑구,12,0,1,3,0,2,2,1,2,1,0
합계,435,4,33,72,40,67,69,27,38,85,0
