date	day	sex	age	region	업종	value
20150901	2	남	60대이상	13	중국집	20
20150901	2	남	10대	13	중국집	8
20150901	2	여	20대	13	중국집	45
20150901	2	남	50대	13	중국집	43
20150901	2	여	60대이상	13	중국집	7
20150901	2	여	50대	13	중국집	30
20150901	2	여	10대	13	중국집	6
20150901	2	여	30대	13	중국집	47
20150901	2	남	30대	13	중국집	83
20150901	2	여	40대	13	중국집	53
20150901	2	남	40대	13	중국집	73
20150901	2	남	20대	13	중국집	49
20150901	2	여	10대	14	중국집	8
20150901	2	여	60대이상	14	중국집	15
20150901	2	여	50대	14	중국집	25
20150901	2	남	20대	14	중국집	82
20150901	2	남	10대	14	중국집	13
20150901	2	여	20대	14	중국집	64
20150901	2	남	60대이상	14	중국집	16
20150901	2	여	30대	14	중국집	44
20150901	2	여	40대	14	중국집	34
20150901	2	남	30대	14	중국집	79
20150901	2	남	40대	14	중국집	63
20150901	2	남	50대	14	중국집	39
20150901	2	남	10대	15	중국집	11
20150901	2	남	60대이상	15	중국집	24
20150901	2	남	50대	15	중국집	58
20150901	2	여	50대	15	중국집	43
20150901	2	여	10대	15	중국집	6
20150901	2	남	20대	15	중국집	59
20150901	2	여	60대이상	15	중국집	30
20150901	2	남	30대	15	중국집	154
20150901	2	남	40대	15	중국집	120
20150901	2	여	30대	15	중국집	78
20150901	2	여	40대	15	중국집	82
20150901	2	여	20대	15	중국집	42
20150901	2	여	20대	16	중국집	25
20150901	2	남	50대	16	중국집	21
20150901	2	여	30대	16	중국집	29
20150901	2	남	30대	16	중국집	64
20150901	2	남	20대	16	중국집	37
20150901	2	남	40대	16	중국집	33
20150901	2	여	50대	16	중국집	11
20150901	2	남	10대	16	중국집	6
20150901	2	남	60대이상	16	중국집	11
20150901	2	여	10대	16	중국집	5
20150901	2	여	60대이상	16	중국집	10
20150901	2	여	40대	16	중국집	20
20150901	2	남	10대	17	중국집	7
20150901	2	남	60대이상	17	중국집	20
20150901	2	여	30대	17	중국집	40
20150901	2	남	30대	17	중국집	58
20150901	2	여	10대	17	중국집	6
20150901	2	남	40대	17	중국집	63
20150901	2	여	60대이상	17	중국집	10
20150901	2	여	50대	17	중국집	16
20150901	2	남	50대	17	중국집	38
20150901	2	남	20대	17	중국집	62
20150901	2	여	20대	17	중국집	29
20150901	2	여	40대	17	중국집	37
20150901	2	남	60대이상	18	중국집	40
20150901	2	남	10대	18	중국집	20
20150901	2	여	40대	18	중국집	79
20150901	2	여	30대	18	중국집	102
20150901	2	여	60대이상	18	중국집	36
20150901	2	남	30대	18	중국집	181
20150901	2	여	10대	18	중국집	10
20150901	2	남	20대	18	중국집	62
20150901	2	여	20대	18	중국집	61
20150901	2	여	50대	18	중국집	51
20150901	2	남	50대	18	중국집	79
20150901	2	남	40대	18	중국집	133
20150901	2	여	50대	19	중국집	19
20150901	2	남	50대	19	중국집	17
20150901	2	여	30대	19	중국집	57
20150901	2	남	30대	19	중국집	43
20150901	2	남	20대	19	중국집	32
20150901	2	남	40대	19	중국집	46
20150901	2	여	20대	19	중국집	24
20150901	2	여	60대이상	19	중국집	14
20150901	2	여	10대	19	중국집	8
20150901	2	남	60대이상	19	중국집	27
20150901	2	남	10대	19	중국집	13
20150901	2	여	40대	19	중국집	48
20150901	2	여	50대	20	중국집	20
20150901	2	남	50대	20	중국집	53
20150901	2	남	40대	20	중국집	87
20150901	2	여	40대	20	중국집	38
20150901	2	남	20대	20	중국집	44
20150901	2	여	30대	20	중국집	44
20150901	2	여	20대	20	중국집	16
20150901	2	남	10대	20	중국집	5
20150901	2	남	60대이상	20	중국집	25
