region,Car vs.Person,Car vs.Car,Car Alone
whole,10783,29579,1300
종로구,377,998,61
중구,357,1149,34
용산구,272,906,67
성동구,231,823,43
광진구,359,1148,33
동대문구,488,1270,76
중랑구,560,1457,63
성북구,504,1070,37
강북구,446,813,34
도봉구,289,665,21
노원구,443,1197,43
은평구,487,974,53
서대문구,335,766,40
마포구,401,1270,55
양천구,355,1073,35
강서구,554,1255,63
구로구,412,1108,48
금천구,327,761,35
영등포구,519,1650,84
동작구,303,773,55
관악구,557,1238,56
서초구,447,1630,75
강남구,740,2745,66
송파구,610,1873,90
강동구,410,967,33
