region,Car vs.Person,Car vs.Car,Car Alone
whole,10869,28294,1288
종로구,407,966,48
중구,401,1063,33
용산구,273,854,43
성동구,257,866,31
광진구,354,1035,41
동대문구,474,1242,61
중랑구,484,1235,63
성북구,471,1040,58
강북구,362,784,28
도봉구,293,614,26
노원구,436,1061,32
은평구,530,921,58
서대문구,341,679,41
마포구,389,1174,60
양천구,347,1049,48
강서구,553,1262,70
구로구,415,1065,62
금천구,339,744,42
영등포구,593,1628,89
동작구,365,791,36
관악구,503,1170,64
서초구,470,1509,69
강남구,807,2669,86
송파구,580,1907,67
강동구,425,966,32
