region,Car vs.Person,Car vs.Car,Car Alone
whole,10892,28537,1399
종로구,399,925,50
중구,376,1046,36
용산구,267,882,53
성동구,212,736,38
광진구,378,1081,35
동대문구,500,1316,65
중랑구,467,1220,66
성북구,468,1040,64
강북구,379,784,49
도봉구,324,634,25
노원구,420,1164,39
은평구,521,946,52
서대문구,301,702,38
마포구,376,1133,52
양천구,391,980,47
강서구,495,1191,81
구로구,451,1072,59
금천구,272,703,42
영등포구,553,1534,92
동작구,355,857,46
관악구,520,1131,62
서초구,516,1500,74
강남구,876,2867,100
송파구,637,2123,84
강동구,438,970,50
